时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:24.331	WT4(FA:E0:7F:9A:F3:3E)	0.724	-0.168	0.662	-0.122	3.174	1.892	-12.06	-47.36	108.31	-31.300	19.600	-49.140	null	null	null	null	null	null	0.56747	0.26788	-0.31244	0.71307	23.1	10080.1.21	100
2026-2-26 15:16:24.381	WT3(F3:2A:15:68:55:37)	-0.224	0.061	0.977	1.892	1.709	0.305	4.43	12.77	-23.27	-30.700	36.467	10.200	null	null	null	null	null	null	0.97168	0.06018	0.10019	-0.20508	22.4	10080.1.21	100
2026-2-26 15:16:24.381	WT2(CA:F4:44:5B:2A:5C)	-0.447	0.732	0.508	0.977	0.183	0.610	54.51	23.93	-93.32	-8.400	-12.300	-27.593	null	null	null	null	null	null	0.52924	0.43976	-0.19458	-0.69897	22.1	10080.1.21	100
2026-2-26 15:16:24.414	WT1(D0:8E:86:5B:BD:44)	-0.104	0.983	0.004	6.958	-5.798	-2.808	-1.40	-4.97	-149.02	-12.100	-18.500	12.127	null	null	null	null	null	null	0.15533	0.22232	-0.66385	-0.69687	21.1	10080.1.21	100
2026-2-26 15:16:24.423	WT4(FA:E0:7F:9A:F3:3E)	0.765	-0.175	0.667	-2.441	-3.540	2.563	-12.37	-47.35	108.56	-30.700	18.700	-47.147	null	null	null	null	null	null	0.56747	0.26788	-0.31244	0.71307	23.1	10080.1.21	100
2026-2-26 15:16:24.500	WT1(D0:8E:86:5B:BD:44)	-0.108	1.016	0.007	-4.333	2.075	-0.061	-1.32	-4.99	-148.99	-12.100	-18.500	12.127	null	null	null	null	null	null	0.15533	0.22232	-0.66385	-0.69687	21.1	10080.1.21	100
2026-2-26 15:16:24.511	WT3(F3:2A:15:68:55:37)	-0.228	0.061	0.988	0.916	-0.671	1.526	4.49	12.68	-23.30	-30.700	36.467	10.200	null	null	null	null	null	null	0.97168	0.06018	0.10019	-0.20508	22.4	10080.1.21	100
2026-2-26 15:16:24.524	WT2(CA:F4:44:5B:2A:5C)	-0.435	0.751	0.516	0.000	1.343	1.099	54.51	23.90	-93.35	-8.400	-12.300	-27.593	null	null	null	null	null	null	0.52924	0.43976	-0.19458	-0.69897	22.1	10080.1.21	100
2026-2-26 15:16:24.542	WT4(FA:E0:7F:9A:F3:3E)	0.746	-0.195	0.641	-1.770	-7.019	0.854	-13.20	-48.17	109.25	-30.700	18.700	-47.147	null	null	null	null	null	null	0.56747	0.26788	-0.31244	0.71307	23.1	10080.1.21	100
2026-2-26 15:16:24.577	WT3(F3:2A:15:68:55:37)	-0.233	0.068	0.958	2.014	0.916	0.305	4.76	12.81	-23.20	-29.800	34.627	8.900	null	null	null	null	null	null	0.97168	0.06018	0.10019	-0.20508	22.4	10080.1.21	100
2026-2-26 15:16:24.579	WT2(CA:F4:44:5B:2A:5C)	-0.443	0.725	0.476	-0.305	0.610	-1.953	54.79	24.05	-93.21	-8.400	-12.300	-27.593	null	null	null	null	null	null	0.52728	0.44284	-0.19376	-0.69873	22.1	10080.1.21	100
2026-2-26 15:16:24.622	WT1(D0:8E:86:5B:BD:44)	-0.084	0.922	0.029	-5.859	0.122	1.465	-1.51	-4.76	-148.85	-11.600	-18.300	16.740	null	null	null	null	null	null	0.15533	0.22232	-0.66385	-0.69687	21.1	10080.1.21	100
2026-2-26 15:16:24.629	WT4(FA:E0:7F:9A:F3:3E)	0.763	-0.208	0.639	-0.671	-4.944	1.770	-13.84	-48.53	109.76	-30.700	18.700	-47.147	null	null	null	null	null	null	0.55997	0.27319	-0.32513	0.71130	23.1	10080.1.21	100
2026-2-26 15:16:24.688	WT1(D0:8E:86:5B:BD:44)	-0.102	1.011	0.028	-7.751	1.282	3.357	-1.87	-4.95	-148.65	-11.600	-18.300	16.740	null	null	null	null	null	null	0.15533	0.22232	-0.66385	-0.69687	21.1	10080.1.21	100
2026-2-26 15:16:24.694	WT3(F3:2A:15:68:55:37)	-0.217	0.069	0.995	-2.441	-1.831	1.221	4.59	12.76	-23.15	-29.800	34.627	8.900	null	null	null	null	null	null	0.97168	0.06018	0.10019	-0.20508	22.4	10080.1.21	100
2026-2-26 15:16:24.700	WT2(CA:F4:44:5B:2A:5C)	-0.436	0.760	0.522	-4.028	1.831	-2.258	54.49	24.09	-93.25	-8.400	-12.300	-27.593	null	null	null	null	null	null	0.52728	0.44284	-0.19376	-0.69873	22.1	10080.1.21	100
2026-2-26 15:16:24.784	WT4(FA:E0:7F:9A:F3:3E)	0.769	-0.202	0.633	0.488	-4.150	-1.343	-13.77	-48.93	109.87	-30.700	18.700	-47.147	null	null	null	null	null	null	0.55997	0.27319	-0.32513	0.71130	23.1	10080.1.21	100
2026-2-26 15:16:24.792	WT2(CA:F4:44:5B:2A:5C)	-0.443	0.741	0.510	0.854	1.831	-1.343	54.51	24.09	-93.22	-7.600	-12.900	-28.953	null	null	null	null	null	null	0.52728	0.44284	-0.19376	-0.69873	22.1	10080.1.21	100
2026-2-26 15:16:24.799	WT1(D0:8E:86:5B:BD:44)	-0.117	0.978	0.026	9.155	-8.484	-3.235	-1.55	-4.95	-148.81	-11.600	-18.300	16.740	null	null	null	null	null	null	0.15533	0.22232	-0.66385	-0.69687	21.1	10080.1.21	100
